Namespace(char='16', dev='19,21', embed='16', filetype='ner', mlp='32', output='small16_ner_adam', test='22,24', train='0,18', trainer='adam', word='16')
Epoch: 0
Validation loss: 91553.813782
Validation accuracy: 0.945591
Test accuracy: 0.946735
Training loss: 616988.816528
Training accuracy: 0.952006

Epoch: 15
Validation loss: 91465.950012
Validation accuracy: 0.945535
Test accuracy: 0.946873
Validation loss: 91290.287537
Validation accuracy: 0.945101
Test accuracy: 0.948147
Validation loss: 92111.140198
Validation accuracy: 0.946348
Test accuracy: 0.948162
Validation loss: 91537.283813
Validation accuracy: 0.946334
Test accuracy: 0.948270
Validation loss: 91552.039001
Validation accuracy: 0.947188
Test accuracy: 0.948515
Training loss: 616724.184692
Training accuracy: 0.952148

Epoch: 16
Validation loss: 91068.681030
Validation accuracy: 0.946236
Test accuracy: 0.947533
Validation loss: 91288.618530
Validation accuracy: 0.947384
Test accuracy: 0.948838
Validation loss: 90907.600952
Validation accuracy: 0.946614
Test accuracy: 0.948745
Validation loss: 91324.972595
Validation accuracy: 0.945493
Test accuracy: 0.949789
Validation loss: 91479.086914
Validation accuracy: 0.947622
Test accuracy: 0.949175
Training loss: 616250.857086
Training accuracy: 0.953162

Epoch: 17
Validation loss: 90716.925537
Validation accuracy: 0.948238
Test accuracy: 0.949513
Validation loss: 91724.189880
Validation accuracy: 0.945353
Test accuracy: 0.948991
Validation loss: 91093.475098
Validation accuracy: 0.946600
Test accuracy: 0.950265
Validation loss: 91277.352295
Validation accuracy: 0.946390
Test accuracy: 0.949866
Validation loss: 91167.517883
Validation accuracy: 0.947706
Test accuracy: 0.949068
Training loss: 616235.055634
Training accuracy: 0.953679

Epoch: 18
Validation loss: 90847.145935
Validation accuracy: 0.946558
Test accuracy: 0.950157
Validation loss: 91647.099976
Validation accuracy: 0.947174
Test accuracy: 0.950771
Validation loss: 90951.702637
Validation accuracy: 0.946039
Test accuracy: 0.951584
Validation loss: 90600.908997
Validation accuracy: 0.948868
Test accuracy: 0.950802
Validation loss: 91803.588013
Validation accuracy: 0.946698
Test accuracy: 0.950035
Training loss: 616501.529663
Training accuracy: 0.954004

Epoch: 19
Validation loss: 91153.270691
Validation accuracy: 0.947090
Test accuracy: 0.950633
Validation loss: 90872.265381
Validation accuracy: 0.947230
Test accuracy: 0.950648
Validation loss: 91320.812500
Validation accuracy: 0.947874
Test accuracy: 0.950833
Validation loss: 91327.232056
Validation accuracy: 0.947272
Test accuracy: 0.950157
Validation loss: 91152.609253
Validation accuracy: 0.948462
Test accuracy: 0.950618
Training loss: 615404.415985
Training accuracy: 0.954591

Epoch: 20
Validation loss: 91264.135803
Validation accuracy: 0.948140
Test accuracy: 0.951093
Validation loss: 91211.688232
Validation accuracy: 0.947664
Test accuracy: 0.951124
Validation loss: 91234.862488
Validation accuracy: 0.947440
Test accuracy: 0.951124
Validation loss: 91320.782776
Validation accuracy: 0.945689
Test accuracy: 0.949988
Validation loss: 90949.025208
Validation accuracy: 0.948084
Test accuracy: 0.952413
Training loss: 615352.943146
Training accuracy: 0.954964

Epoch: 21
Validation loss: 90723.213135
Validation accuracy: 0.947440
Test accuracy: 0.950863
Validation loss: 90930.898499
Validation accuracy: 0.947888
Test accuracy: 0.951354
Validation loss: 91210.426025
Validation accuracy: 0.947510
Test accuracy: 0.951968
Validation loss: 91682.697876
Validation accuracy: 0.949331
Test accuracy: 0.952382
Validation loss: 90591.740723
Validation accuracy: 0.948672
Test accuracy: 0.952966
Training loss: 615670.800598
Training accuracy: 0.955703

Epoch: 22
Validation loss: 91299.785217
Validation accuracy: 0.948434
Test accuracy: 0.951600
Validation loss: 91311.089355
Validation accuracy: 0.949317
Test accuracy: 0.952260
Validation loss: 90802.082581
Validation accuracy: 0.948000
Test accuracy: 0.952858
Validation loss: 91348.791992
Validation accuracy: 0.948574
Test accuracy: 0.950280
Validation loss: 91093.042664
Validation accuracy: 0.949345
Test accuracy: 0.952029
Training loss: 613975.145691
Training accuracy: 0.955957

Epoch: 23
Validation loss: 91050.458801
Validation accuracy: 0.948924
Test accuracy: 0.953119
Validation loss: 90948.492554
Validation accuracy: 0.949415
Test accuracy: 0.951646
Validation loss: 90675.227539
Validation accuracy: 0.951473
Test accuracy: 0.952428
Validation loss: 91115.210754
Validation accuracy: 0.949849
Test accuracy: 0.951324
Validation loss: 91097.461853
Validation accuracy: 0.949443
Test accuracy: 0.951661
Training loss: 613486.808350
Training accuracy: 0.956375

Epoch: 24
Validation loss: 90876.031921
Validation accuracy: 0.948252
Test accuracy: 0.951830
Validation loss: 91112.161072
Validation accuracy: 0.949415
Test accuracy: 0.952244
Validation loss: 91071.880127
Validation accuracy: 0.950885
Test accuracy: 0.951569
Validation loss: 91310.349915
Validation accuracy: 0.949092
Test accuracy: 0.953042
Validation loss: 91073.360535
Validation accuracy: 0.950171
Test accuracy: 0.953564
Training loss: 615606.605469
Training accuracy: 0.956348

Epoch: 25
Validation loss: 90495.406982
Validation accuracy: 0.950171
Test accuracy: 0.952198
Validation loss: 90739.077942
Validation accuracy: 0.950787
Test accuracy: 0.951477
Validation loss: 90664.262756
Validation accuracy: 0.949317
Test accuracy: 0.953717
Validation loss: 91206.092468
Validation accuracy: 0.949555
Test accuracy: 0.953518
Validation loss: 90505.812378
Validation accuracy: 0.950381
Test accuracy: 0.955283
Training loss: 613428.160034
Training accuracy: 0.956960

Epoch: 26
Validation loss: 91260.047424
Validation accuracy: 0.951585
Test accuracy: 0.954086
Validation loss: 90233.928223
Validation accuracy: 0.950787
Test accuracy: 0.952229
Validation loss: 90192.139343
Validation accuracy: 0.950479
Test accuracy: 0.953671
Validation loss: 91273.833252
Validation accuracy: 0.950465
Test accuracy: 0.952751
Validation loss: 91167.341064
Validation accuracy: 0.950157
Test accuracy: 0.953917
Training loss: 614426.522278
Training accuracy: 0.957448

Epoch: 27
Validation loss: 90819.742554
Validation accuracy: 0.950059
Test accuracy: 0.954301
Validation loss: 90735.493042
Validation accuracy: 0.950507
Test accuracy: 0.954193
Validation loss: 91027.081421
Validation accuracy: 0.951711
Test accuracy: 0.953625
Validation loss: 91091.704224
Validation accuracy: 0.950185
Test accuracy: 0.954515
Validation loss: 90609.746826
Validation accuracy: 0.950843
Test accuracy: 0.955283
Training loss: 613201.869354
Training accuracy: 0.957514

Epoch: 28
Validation loss: 90557.129883
Validation accuracy: 0.951935
Test accuracy: 0.954715
Validation loss: 91047.136230
Validation accuracy: 0.950535
Test accuracy: 0.953687
Validation loss: 90830.120850
Validation accuracy: 0.950129
Test accuracy: 0.954193
Validation loss: 90801.239563
Validation accuracy: 0.950689
Test accuracy: 0.951983
Validation loss: 90983.937134
Validation accuracy: 0.949849
Test accuracy: 0.954316
Training loss: 613236.455292
Training accuracy: 0.957649

Epoch: 29
Validation loss: 90799.739014
Validation accuracy: 0.950143
Test accuracy: 0.953687
Validation loss: 91034.615112
Validation accuracy: 0.952216
Test accuracy: 0.953395
Validation loss: 90923.643738
Validation accuracy: 0.950871
Test accuracy: 0.954500
Validation loss: 91281.992737
Validation accuracy: 0.951529
Test accuracy: 0.952628
Validation loss: 91192.353027
Validation accuracy: 0.951683
Test accuracy: 0.954331
Training loss: 611937.037445
Training accuracy: 0.958175

Epoch: 30
Validation loss: 90567.674133
Validation accuracy: 0.950283
Test accuracy: 0.955313
Validation loss: 90621.616577
Validation accuracy: 0.952328
Test accuracy: 0.954316
Validation loss: 91322.770142
Validation accuracy: 0.950479
Test accuracy: 0.955513
Validation loss: 90750.385742
Validation accuracy: 0.952202
Test accuracy: 0.954884
Validation loss: 90209.302734
Validation accuracy: 0.949961
Test accuracy: 0.954178
Training loss: 613469.465820
Training accuracy: 0.957419

Epoch: 31
Validation loss: 90644.546570
Validation accuracy: 0.950591
Test accuracy: 0.955283
Validation loss: 90824.163330
Validation accuracy: 0.951039
Test accuracy: 0.954163
Validation loss: 91007.173645
Validation accuracy: 0.951739
Test accuracy: 0.954009
Validation loss: 90618.012085
Validation accuracy: 0.951739
Test accuracy: 0.954270
Validation loss: 90836.925476
Validation accuracy: 0.952412
Test accuracy: 0.955421
Training loss: 612630.230743
Training accuracy: 0.957452

Epoch: 32
Validation loss: 90608.994629
Validation accuracy: 0.952174
Test accuracy: 0.954439
Validation loss: 90619.479614
Validation accuracy: 0.950787
Test accuracy: 0.953840
Validation loss: 90977.239197
Validation accuracy: 0.952230
Test accuracy: 0.956035
Validation loss: 90797.486572
Validation accuracy: 0.950395
Test accuracy: 0.954209
Validation loss: 90710.194336
Validation accuracy: 0.950633
Test accuracy: 0.956035
Training loss: 611958.955688
Training accuracy: 0.958632

Epoch: 33
Validation loss: 90803.490295
Validation accuracy: 0.951291
Test accuracy: 0.954623
Validation loss: 89825.740356
Validation accuracy: 0.951571
Test accuracy: 0.954914
Validation loss: 90559.654541
Validation accuracy: 0.951053
Test accuracy: 0.954945
Validation loss: 90461.805969
Validation accuracy: 0.952062
Test accuracy: 0.955022
Validation loss: 90327.846008
Validation accuracy: 0.952706
Test accuracy: 0.954700
Training loss: 612562.213135
Training accuracy: 0.958521

Epoch: 34
Validation loss: 90510.483032
Validation accuracy: 0.953112
Test accuracy: 0.955329
Validation loss: 90741.056458
Validation accuracy: 0.951179
Test accuracy: 0.954546
Validation loss: 90375.929199
Validation accuracy: 0.952216
Test accuracy: 0.956035
Validation loss: 90998.008545
Validation accuracy: 0.952692
Test accuracy: 0.953395
Validation loss: 90266.702026
Validation accuracy: 0.951431
Test accuracy: 0.956142
Training loss: 611780.166321
Training accuracy: 0.958879

Epoch: 35
Validation loss: 91180.415833
Validation accuracy: 0.951277
Test accuracy: 0.953564
Validation loss: 90676.472229
Validation accuracy: 0.951277
Test accuracy: 0.953334
Validation loss: 91155.943054
Validation accuracy: 0.952832
Test accuracy: 0.955237
Validation loss: 90327.095581
Validation accuracy: 0.951991
Test accuracy: 0.954178
Validation loss: 90940.711548
Validation accuracy: 0.952930
Test accuracy: 0.955574
Training loss: 612901.953979
Training accuracy: 0.958580

Epoch: 36
Validation loss: 91407.698792
Validation accuracy: 0.952930
Test accuracy: 0.954623
Validation loss: 90860.640320
Validation accuracy: 0.951109
Test accuracy: 0.955651
Validation loss: 90209.107910
Validation accuracy: 0.954190
Test accuracy: 0.954239
Validation loss: 90591.605957
Validation accuracy: 0.954092
Test accuracy: 0.954147
Validation loss: 90331.592224
Validation accuracy: 0.953644
Test accuracy: 0.954408
Training loss: 610935.764252
Training accuracy: 0.959540

Epoch: 37
Validation loss: 91357.275391
Validation accuracy: 0.952328
Test accuracy: 0.954239
Validation loss: 91127.676697
Validation accuracy: 0.952258
Test accuracy: 0.956434
Validation loss: 90101.080750
Validation accuracy: 0.952188
Test accuracy: 0.956265
Validation loss: 90999.002625
Validation accuracy: 0.952748
Test accuracy: 0.955758
Validation loss: 90861.432495
Validation accuracy: 0.952692
Test accuracy: 0.956464
Training loss: 611843.526672
Training accuracy: 0.959235

Epoch: 38
Validation loss: 90620.811646
Validation accuracy: 0.954288
Test accuracy: 0.956019
Validation loss: 91097.929810
Validation accuracy: 0.952118
Test accuracy: 0.956787
Validation loss: 90303.748352
Validation accuracy: 0.952650
Test accuracy: 0.955712
Validation loss: 90539.085693
Validation accuracy: 0.951417
Test accuracy: 0.956602
Validation loss: 90786.415649
Validation accuracy: 0.953574
Test accuracy: 0.955175
Training loss: 612229.304138
Training accuracy: 0.959266

Epoch: 39
Validation loss: 90408.249878
Validation accuracy: 0.953434
Test accuracy: 0.956050
Validation loss: 90623.932434
Validation accuracy: 0.953966
Test accuracy: 0.955774
Validation loss: 90857.396179
Validation accuracy: 0.953294
Test accuracy: 0.958106
Validation loss: 90468.339783
Validation accuracy: 0.951389
Test accuracy: 0.956342
Validation loss: 90699.183960
Validation accuracy: 0.952468
Test accuracy: 0.954669
Training loss: 612939.395874
Training accuracy: 0.959643

Epoch: 40
Validation loss: 90868.242737
Validation accuracy: 0.953056
Test accuracy: 0.956388
Validation loss: 90358.796875
Validation accuracy: 0.952440
Test accuracy: 0.956065
Validation loss: 90519.497437
Validation accuracy: 0.952104
Test accuracy: 0.956572
Validation loss: 90337.293091
Validation accuracy: 0.952230
Test accuracy: 0.957324
Validation loss: 90947.828369
Validation accuracy: 0.952370
Test accuracy: 0.956587
Training loss: 611296.310089
Training accuracy: 0.960362

Epoch: 41
Validation loss: 90345.840881
Validation accuracy: 0.953952
Test accuracy: 0.957278
Validation loss: 90282.350342
Validation accuracy: 0.954218
Test accuracy: 0.956203
Validation loss: 90988.119141
Validation accuracy: 0.954512
Test accuracy: 0.956418
Validation loss: 90689.378479
Validation accuracy: 0.954064
Test accuracy: 0.957784
Validation loss: 90699.613037
Validation accuracy: 0.953042
Test accuracy: 0.955851
Training loss: 611230.317261
Training accuracy: 0.959139

Epoch: 42
Validation loss: 90345.428528
Validation accuracy: 0.953000
Test accuracy: 0.954868
Validation loss: 90221.502991
Validation accuracy: 0.952538
Test accuracy: 0.955620
Validation loss: 90731.648010
Validation accuracy: 0.952412
Test accuracy: 0.954439
Validation loss: 90796.365723
Validation accuracy: 0.953462
Test accuracy: 0.955851
Validation loss: 90975.261475
Validation accuracy: 0.952412
Test accuracy: 0.955129
Training loss: 610712.944397
Training accuracy: 0.959213

Epoch: 43
Validation loss: 90619.116394
Validation accuracy: 0.954666
Test accuracy: 0.957140
Validation loss: 90529.910889
Validation accuracy: 0.953336
Test accuracy: 0.958183
Validation loss: 90133.870972
Validation accuracy: 0.952594
Test accuracy: 0.956311
Validation loss: 90584.559998
Validation accuracy: 0.954274
Test accuracy: 0.957032
Validation loss: 90209.833374
Validation accuracy: 0.953462
Test accuracy: 0.956725
Training loss: 611872.057922
Training accuracy: 0.959855

Epoch: 44
Validation loss: 90182.462952
Validation accuracy: 0.952356
Test accuracy: 0.957109
Validation loss: 91200.371826
Validation accuracy: 0.952650
Test accuracy: 0.956817
Validation loss: 90014.076233
Validation accuracy: 0.954414
Test accuracy: 0.956741
Validation loss: 90101.689880
Validation accuracy: 0.954358
Test accuracy: 0.956050
Validation loss: 90492.000183
Validation accuracy: 0.952846
Test accuracy: 0.957155
Training loss: 610622.805359
Training accuracy: 0.959373

Epoch: 45
Validation loss: 90392.740417
Validation accuracy: 0.953644
Test accuracy: 0.956004
Validation loss: 89872.563599
Validation accuracy: 0.952846
Test accuracy: 0.956833
Validation loss: 90495.457764
Validation accuracy: 0.953630
Test accuracy: 0.956157
Validation loss: 90731.412598
Validation accuracy: 0.955297
Test accuracy: 0.957308
Validation loss: 90525.184753
Validation accuracy: 0.954162
Test accuracy: 0.956173
Training loss: 611795.473999
Training accuracy: 0.960786

Epoch: 46
Validation loss: 90570.219727
Validation accuracy: 0.954624
Test accuracy: 0.958383
Validation loss: 91083.138977
Validation accuracy: 0.952524
Test accuracy: 0.957861
Validation loss: 90285.721375
Validation accuracy: 0.955773
Test accuracy: 0.957339
Validation loss: 90651.090942
Validation accuracy: 0.954330
Test accuracy: 0.957523
Validation loss: 90332.841797
Validation accuracy: 0.954008
Test accuracy: 0.956572
Training loss: 611122.709259
Training accuracy: 0.959744

Epoch: 47
Validation loss: 90662.745728
Validation accuracy: 0.954498
Test accuracy: 0.958229
Validation loss: 89869.207275
Validation accuracy: 0.954876
Test accuracy: 0.958597
Validation loss: 91158.500122
Validation accuracy: 0.953672
Test accuracy: 0.957308
Validation loss: 89944.125549
Validation accuracy: 0.954442
Test accuracy: 0.958275
Validation loss: 90329.532959
Validation accuracy: 0.954148
Test accuracy: 0.956250
Training loss: 610711.866333
Training accuracy: 0.960226

Epoch: 48
Validation loss: 90096.920044
Validation accuracy: 0.954932
Test accuracy: 0.957339
Validation loss: 90461.043823
Validation accuracy: 0.955241
Test accuracy: 0.956157
Validation loss: 90084.346252
Validation accuracy: 0.952958
Test accuracy: 0.957293
Validation loss: 90434.456177
Validation accuracy: 0.954989
Test accuracy: 0.956802
Validation loss: 90464.822449
Validation accuracy: 0.954162
Test accuracy: 0.957339
Training loss: 610738.980499
Training accuracy: 0.960321

Epoch: 49
Validation loss: 90424.579041
Validation accuracy: 0.954064
Test accuracy: 0.956848
Validation loss: 90190.309631
Validation accuracy: 0.954134
Test accuracy: 0.957861
Validation loss: 90225.275269
Validation accuracy: 0.955283
Test accuracy: 0.957293
Validation loss: 90831.303162
Validation accuracy: 0.954989
Test accuracy: 0.957723
Validation loss: 90135.192444
Validation accuracy: 0.954008
Test accuracy: 0.957922
Training loss: 611844.440247
Training accuracy: 0.960306

Epoch: 50
Validation loss: 90854.275330
Validation accuracy: 0.951991
Test accuracy: 0.957370
Validation loss: 90329.078125
Validation accuracy: 0.951599
Test accuracy: 0.955221
Validation loss: 90880.421814
Validation accuracy: 0.955339
Test accuracy: 0.957738
Validation loss: 90657.906433
Validation accuracy: 0.955773
Test accuracy: 0.957446
Validation loss: 90725.942932
Validation accuracy: 0.952636
Test accuracy: 0.957600
Training loss: 612186.411987
Training accuracy: 0.960628

Epoch: 51
Validation loss: 89972.589844
Validation accuracy: 0.954596
Test accuracy: 0.958260
Validation loss: 90234.402893
Validation accuracy: 0.954064
Test accuracy: 0.957861
Validation loss: 91011.452637
Validation accuracy: 0.955479
Test accuracy: 0.958091
Validation loss: 90092.259583
Validation accuracy: 0.954764
Test accuracy: 0.957247
Validation loss: 90263.116089
Validation accuracy: 0.956053
Test accuracy: 0.958459
Training loss: 612662.823364
Training accuracy: 0.961103

Epoch: 52
Validation loss: 90292.649109
Validation accuracy: 0.954890
Test accuracy: 0.958582
Validation loss: 90922.723389
Validation accuracy: 0.954064
Test accuracy: 0.957753
Validation loss: 91262.371948
Validation accuracy: 0.955885
Test accuracy: 0.959012
Validation loss: 90321.185913
Validation accuracy: 0.955241
Test accuracy: 0.957907
Validation loss: 90271.109619
Validation accuracy: 0.955997
Test accuracy: 0.957600
Training loss: 611623.599731
Training accuracy: 0.960438

Epoch: 53
Validation loss: 90426.058105
Validation accuracy: 0.954456
Test accuracy: 0.957124
Validation loss: 90574.065796
Validation accuracy: 0.955227
Test accuracy: 0.957615
Validation loss: 90251.721802
Validation accuracy: 0.954568
Test accuracy: 0.958290
Validation loss: 90119.179688
Validation accuracy: 0.955227
Test accuracy: 0.958490
Validation loss: 90449.774597
Validation accuracy: 0.955507
Test accuracy: 0.958720
Training loss: 610079.088287
Training accuracy: 0.961398

Epoch: 54
Validation loss: 90654.366211
Validation accuracy: 0.956011
Test accuracy: 0.957600
Validation loss: 89908.277344
Validation accuracy: 0.956179
Test accuracy: 0.957830
Validation loss: 90320.726318
Validation accuracy: 0.954050
Test accuracy: 0.957400
Validation loss: 90318.889832
Validation accuracy: 0.954610
Test accuracy: 0.957692
Validation loss: 90469.916931
Validation accuracy: 0.954568
Test accuracy: 0.958106
Training loss: 611204.011719
Training accuracy: 0.960949

Epoch: 55
Validation loss: 90462.238770
Validation accuracy: 0.954624
Test accuracy: 0.958904
Validation loss: 89817.751465
Validation accuracy: 0.953938
Test accuracy: 0.957631
Validation loss: 89977.956604
Validation accuracy: 0.954862
Test accuracy: 0.959426
Validation loss: 89797.935669
Validation accuracy: 0.954582
Test accuracy: 0.958597
Validation loss: 90731.458557
Validation accuracy: 0.954246
Test accuracy: 0.956280
Training loss: 611666.089813
Training accuracy: 0.960656

Epoch: 56
Validation loss: 89975.398438
Validation accuracy: 0.954610
Test accuracy: 0.958551
Validation loss: 90464.409912
Validation accuracy: 0.955465
Test accuracy: 0.958966
Validation loss: 89972.688965
Validation accuracy: 0.953098
Test accuracy: 0.957354
Validation loss: 90284.503296
Validation accuracy: 0.953924
Test accuracy: 0.958290
Validation loss: 90555.172852
Validation accuracy: 0.955185
Test accuracy: 0.957769
Training loss: 611264.221771
Training accuracy: 0.961161

Epoch: 57
Validation loss: 90451.567078
Validation accuracy: 0.954792
Test accuracy: 0.958736
Validation loss: 89989.090515
Validation accuracy: 0.955745
Test accuracy: 0.958229
Validation loss: 90619.813599
Validation accuracy: 0.954554
Test accuracy: 0.957815
Validation loss: 90903.306763
Validation accuracy: 0.955661
Test accuracy: 0.957508
Validation loss: 90308.094727
Validation accuracy: 0.956557
Test accuracy: 0.958030
Training loss: 610566.256042
Training accuracy: 0.961944

Epoch: 58
Validation loss: 89886.746704
Validation accuracy: 0.955395
Test accuracy: 0.957677
Validation loss: 90447.395630
Validation accuracy: 0.956291
Test accuracy: 0.958567
Validation loss: 90253.740723
Validation accuracy: 0.955941
Test accuracy: 0.958459
Validation loss: 91012.130127
Validation accuracy: 0.955059
Test accuracy: 0.957845
Validation loss: 90001.923340
Validation accuracy: 0.953686
Test accuracy: 0.960270
Training loss: 610043.820953
Training accuracy: 0.961919

Epoch: 59
Validation loss: 90604.088501
Validation accuracy: 0.954260
Test accuracy: 0.958183
Validation loss: 90402.391418
